Time,Data
0.47689 sec,-0.764621429968607
0.47789 sec,-0.753583712113371
0.47889 sec,-0.742523973779328
0.47989 sec,-0.731443148988208
0.48089 sec,-0.720342172277829
0.48189 sec,-0.709221978613826
0.48289 sec,-0.698083503301608
0.48389 sec,-0.686927681898628
0.48489 sec,-0.675755450126889
0.48589 sec,-0.664567743785726
0.48689 sec,-0.65336549866491
0.48789 sec,-0.642149650457996
0.48889 sec,-0.630921134676018
0.48989 sec,-0.619680886561448
0.49089 sec,-0.608429841002479
0.49189 sec,-0.597168932447651
0.49289 sec,-0.585899094820756
0.49389 sec,-0.574621261436098
0.49489 sec,-0.563336364914087
0.49589 sec,-0.552045337097171
0.49689 sec,-0.54074910896611
0.49789 sec,-0.52944861055662
0.49889 sec,-0.518144770876353
0.49989 sec,-0.506838517822245
0.50089 sec,-0.495530778098271
0.50189 sec,-0.48422247713351
0.50289 sec,-0.472914539000656
0.50389 sec,-0.461607886334869
0.50489 sec,-0.450303440253041
0.50589 sec,-0.439002120273459
0.50689 sec,-0.42770484423587
0.50789 sec,-0.416412528221945
0.50826 sec,-0.412214747708376
0.50826 sec,-0.412214747706807
0.50926 sec,-0.400928077304193
0.51026 sec,-0.389644224327804
0.51126 sec,-0.378363787846484
0.51226 sec,-0.367087692972749
0.51326 sec,-0.355816864864154
0.51426 sec,-0.344552228635488
0.51526 sec,-0.333294709270959
0.51626 sec,-0.32204523153632
0.51726 sec,-0.310804719890987
0.51826 sec,-0.299574098400149
0.51926 sec,-0.288354290646877
0.52026 sec,-0.277146219644215
0.52126 sec,-0.26595080774732
0.52226 sec,-0.254768976565569
0.52326 sec,-0.243601646874764
0.52426 sec,-0.232449738529324
0.52526 sec,-0.221314170374548
0.52626 sec,-0.210195860158921
0.52726 sec,-0.199095724446512
0.52826 sec,-0.188014678529388
0.52926 sec,-0.176953636340187
0.53026 sec,-0.165913510364708
0.53126 sec,-0.154895211554656
0.53226 sec,-0.143899649240458
0.53326 sec,-0.132927731044205
0.53426 sec,-0.121980362792728
0.53526 sec,-0.111058448430808
0.53626 sec,-0.100162889934488
0.53726 sec,-0.0892945872246074
0.53826 sec,-0.0784544380804222
0.53926 sec,-0.0676433380534434
0.54026 sec,-0.05686218038141
0.54126 sec,-0.0461118559024974
0.54226 sec,-0.0353932529696552
0.54326 sec,-0.0247072573652017
0.54426 sec,-0.014054752215594
0.54526 sec,-0.00343661790643712
0.54626 sec,0.00714626800231066
0.54726 sec,0.0176930308608614
0.54826 sec,0.0282027990139018
0.54926 sec,0.0386747038846402
0.55026 sec,0.0491078800586031
0.55126 sec,0.0595014653671297
0.55226 sec,0.0698546009706513
0.55326 sec,0.0801664314416164
0.55426 sec,0.0904361048471769
0.55526 sec,0.100662772831554
0.55626 sec,0.110845590698096
0.55726 sec,0.120983717491005
0.55826 sec,0.13107631607676
0.55926 sec,0.141122553225206
0.56026 sec,0.151121599690288
0.56126 sec,0.161072630290439
0.56226 sec,0.170974823988611
0.56326 sec,0.180827363971955
0.56426 sec,0.190629437731102
0.56526 sec,0.200380237139079
0.56626 sec,0.210078958529842
0.56726 sec,0.219724802776402
0.56826 sec,0.229316975368521
0.56926 sec,0.238854686490064
0.57026 sec,0.248337151095853
0.57126 sec,0.257763588988145
0.57226 sec,0.267133224892644
0.57326 sec,0.276445288534106
0.57426 sec,0.285699014711442
0.57526 sec,0.294893643372407
0.57626 sec,0.3040284196878
0.57726 sec,0.313102594125203
0.57826 sec,0.322115422522218
0.57926 sec,0.331066166159254
0.58026 sec,0.339954091831774
0.58126 sec,0.348778471922063
0.58226 sec,0.357538584470487
0.58326 sec,0.366233713246236
0.58426 sec,0.374863147817524
0.58526 sec,0.383426183621272
0.58626 sec,0.391922122032261
0.58726 sec,0.400350270431713
0.58826 sec,0.408709942275353
0.58926 sec,0.417000457160875
0.59026 sec,0.425221140894874
0.59126 sec,0.433371325559178
0.59226 sec,0.44145034957663
0.59326 sec,0.449457557776243
0.59426 sec,0.457392301457807
0.59526 sec,0.465253938455862
0.59626 sec,0.473041833203075
0.59726 sec,0.480755356793014
0.59826 sec,0.488393887042287
0.59926 sec,0.495956808552067
0.60026 sec,0.503443512768978
0.60126 sec,0.510853398045343
0.60226 sec,0.518185869698804
0.60326 sec,0.525440340071262
0.60426 sec,0.532616228587179
0.60526 sec,0.539712961811224
0.60626 sec,0.546729973505228
0.60726 sec,0.553666704684493
0.60826 sec,0.560522603673394
0.60926 sec,0.567297126160309
0.61026 sec,0.573989735251862
0.61126 sec,0.580599901526454
0.61226 sec,0.587127103087099
0.61326 sec,0.593570825613569
0.61426 sec,0.599930562413785
0.61526 sec,0.606205814474526
0.61626 sec,0.612396090511405
0.61726 sec,0.6185009070181
0.61826 sec,0.624519788314868
0.61926 sec,0.630452266596311
0.62026 sec,0.636297881978403
0.62126 sec,0.642056182544757
0.62226 sec,0.647726724392154
0.62326 sec,0.653309071675295
0.62426 sec,0.6588027966508
0.62526 sec,0.664207479720439
